"","algorithm","iterations","swarm_size","design_pts","problem","obj_value","time"
"179","DE",500,20,5,"5",-3.5281487134305,1.40865206718445
"180","DE",500,20,5,"6",-39.6795814660662,1.61443781852722
"181","DE",500,50,3,"1",-1.12591215669838,2.56064438819885
"182","DE",500,50,3,"2",-7.63020087029281,2.61568021774292
"183","DE",500,50,3,"3",6.97607356852233,3.28758454322815
"184","DE",500,50,3,"4",-0.291227718749919,2.51595377922058
"185","DE",500,50,3,"5",-3.52665659668026,2.90670561790466
"186","DE",500,50,3,"6",-61.35579391908,3.61381435394287
"187","DE",500,50,4,"1",-1.1261109256117,2.62594962120056
"188","DE",500,50,4,"2",-7.51222726065889,2.77582907676697
"189","DE",500,50,4,"3",34.0246867801774,3.19613099098206
"190","DE",500,50,4,"4",-0.291468694696981,2.6573498249054
"191","DE",500,50,4,"5",-3.52685641765277,3.04632902145386
"192","DE",500,50,4,"6",-39.5057333248817,3.67019724845886
"193","DE",500,50,5,"1",-1.12697326141884,2.89181232452393
"194","DE",500,50,5,"2",-7.56295334586383,2.89400362968445
"195","DE",500,50,5,"3",33.9815464424429,3.43088555335999
"196","DE",500,50,5,"4",-0.297363398282176,2.84097361564636
"197","DE",500,50,5,"5",-3.52743513979478,3.15470933914185
"198","DE",500,50,5,"6",-39.5104397642569,3.80843353271484
"199","DE",500,100,3,"1",-1.12591216728827,4.77804517745972
"200","DE",500,100,3,"2",-7.63020079938097,4.76233720779419
"201","DE",500,100,3,"3",7.0568969682559,5.9907500743866
"202","DE",500,100,3,"4",-0.29122753903062,4.82794737815857
"203","DE",500,100,3,"5",-3.52665719581382,5.27513575553894
"204","DE",500,100,3,"6",-61.2992440711251,6.80295729637146
"205","DE",500,100,4,"1",-1.1259120090782,5.0323760509491
"206","DE",500,100,4,"2",-7.57855038789028,5.15256500244141
"207","DE",500,100,4,"3",34.0231971477592,5.92882657051086
"208","DE",500,100,4,"4",-0.29146308333285,4.98831725120544
"209","DE",500,100,4,"5",-3.5268554463834,5.65619301795959
"210","DE",500,100,4,"6",-39.5055447768292,6.76665210723877
"211","DE",500,100,5,"1",-1.1260603167324,5.42803049087524
"212","DE",500,100,5,"2",-7.51188006602164,5.55532479286194
"213","DE",500,100,5,"3",34.0193946950437,6.2985532283783
"214","DE",500,100,5,"4",-0.29384802697559,5.17934489250183
"215","DE",500,100,5,"5",-3.57279403525538,5.86475563049316
"216","DE",500,100,5,"6",-39.520527692543,7.17834734916687
"217","DE",1000,20,3,"1",-1.12591195329858,2.10428810119629
"218","DE",1000,20,3,"2",-7.63020078368767,2.1695761680603
"219","DE",1000,20,3,"3",5.42060803770796,2.70419645309448
"220","DE",1000,20,3,"4",-0.525184553916221,2.14458751678467
"221","DE",1000,20,3,"5",-3.52665652715374,2.36211466789246
"222","DE",1000,20,3,"6",-61.4837063959321,3.13179206848145
"223","DE",1000,20,4,"1",-1.12591195329869,2.29216456413269
"224","DE",1000,20,4,"2",-7.51059948223582,2.24484848976135
"225","DE",1000,20,4,"3",34.02520285991,2.64470815658569
"226","DE",1000,20,4,"4",-0.291227264313763,2.25968194007874
"227","DE",1000,20,4,"5",-3.52665679384829,2.44874405860901
"228","DE",1000,20,4,"6",-39.5050283633451,2.86541819572449
"229","DE",1000,20,5,"1",-1.12596082295457,2.3140869140625
"230","DE",1000,20,5,"2",-7.51085692382204,2.34464740753174
"231","DE",1000,20,5,"3",34.0210405774696,2.8400776386261
"232","DE",1000,20,5,"4",-0.291229158836897,2.45271801948547
"233","DE",1000,20,5,"5",-3.52667149616457,2.67565488815308
"234","DE",1000,20,5,"6",-39.426383854224,3.25858545303345
"235","DE",1000,50,3,"1",-1.1259119532986,4.81504464149475
"236","DE",1000,50,3,"2",-7.57854559635422,4.75216364860535
"237","DE",1000,50,3,"3",7.12650013400396,6.05303168296814
"238","DE",1000,50,3,"4",-0.291227264236843,4.86915493011475
"239","DE",1000,50,3,"5",-3.52665652715381,5.32719016075134
"240","DE",1000,50,3,"6",-61.2218491096835,6.93043255805969
"241","DE",1000,50,4,"1",-1.12591197903638,5.092689037323
"242","DE",1000,50,4,"2",-7.51062999979575,5.20816516876221
"243","DE",1000,50,4,"3",34.0252012774255,5.88229727745056
"244","DE",1000,50,4,"4",-0.291229323964949,5.04749321937561
"245","DE",1000,50,4,"5",-3.52665697719956,5.65188598632812
"246","DE",1000,50,4,"6",-39.5041815820042,6.69721722602844
"247","DE",1000,50,5,"1",-1.12591195329863,5.54726839065552
"248","DE",1000,50,5,"2",-7.51091033193852,5.55556035041809
"249","DE",1000,50,5,"3",34.0240089544183,6.27834320068359
"250","DE",1000,50,5,"4",-0.291373465334869,5.42880249023438
"251","DE",1000,50,5,"5",-3.52666697002431,5.89588332176208
"252","DE",1000,50,5,"6",-39.505466702078,7.38516712188721
"253","DE",1000,100,3,"1",-1.12591195329857,9.15167760848999
"254","DE",1000,100,3,"2",-7.57854559635358,9.11219167709351
"255","DE",1000,100,3,"3",7.21380680297905,11.5382211208344
"256","DE",1000,100,3,"4",-0.291227264236873,9.17590880393982
"257","DE",1000,100,3,"5",-3.5266565271539,10.1996328830719
"258","DE",1000,100,3,"6",-61.0197333353394,13.0951135158539
"259","DE",1000,100,4,"1",-1.1259124183459,9.85094738006592
"260","DE",1000,100,4,"2",-7.51060033313595,9.94970393180847
"261","DE",1000,100,4,"3",34.0213575875664,11.3068466186523
"262","DE",1000,100,4,"4",-0.291231554862,9.77873539924622
"263","DE",1000,100,4,"5",-3.52665820986037,10.9166202545166
"264","DE",1000,100,4,"6",-39.5050294101362,12.9190855026245
"265","DE",1000,100,5,"1",-1.12595411490199,10.4354975223541
"266","DE",1000,100,5,"2",-7.51779989364113,10.7970111370087
"267","DE",1000,100,5,"3",34.0249207271228,12.1744027137756
"268","DE",1000,100,5,"4",-0.291750838331517,10.4287896156311
"269","DE",1000,100,5,"5",-3.52737474068081,11.6347765922546
"270","DE",1000,100,5,"6",-39.505495703655,12.2780463695526
"271","PSO",50,20,3,"1",-1.13076332599151,0.330166578292847
"272","PSO",50,20,3,"2",-7.63791517618216,0.345984935760498
"273","PSO",50,20,3,"3",3.78927606379286,0.543560743331909
"274","PSO",50,20,3,"4",-8.2107796692532,0.416729211807251
"275","PSO",50,20,3,"5",-4.12091522227468,0.365470409393311
"276","PSO",50,20,3,"6",-75.8123684223675,0.561123847961426
"277","PSO",50,20,4,"1",-1.12905312794768,0.398903846740723
"278","PSO",50,20,4,"2",-7.63410816616363,0.388455390930176
"279","PSO",50,20,4,"3",34.0015534867913,0.478562355041504
"280","PSO",50,20,4,"4",-5.29725960480553,0.443924903869629
"281","PSO",50,20,4,"5",-8.91390823305774,0.499902248382568
"282","PSO",50,20,4,"6",-55.0058861786818,0.53696608543396
"283","PSO",50,20,5,"1",-1.12638186303964,0.45647120475769
"284","PSO",50,20,5,"2",-Inf,0.162196636199951
"285","PSO",50,20,5,"3",33.8733118273202,0.566207408905029
"286","PSO",50,20,5,"4",-13.2814007170864,0.602699279785156
"287","PSO",50,20,5,"5",-4.22669444973995,0.509725570678711
